file,locatie,external_id,x_coord,y_coord,ground_elev,top_filter,bottom_filter
B39F2968002_1036_39F-2968002.csv,B39F2968,39F-2968002,171920.08,438383.71,694.0,51.0,-49.0
B39F2969001_1031_39F-2969001.csv,B39F2969,39F-2969001,172058.71,437759.68,680.0,523.0,423.0
B39F2969002_1031_39F-2969002.csv,B39F2969,39F-2969002,172058.71,437759.68,680.0,253.0,153.0
B39G0288001_1028_39GP0076001.csv,B39G0288,39GP0076001,169050.0,436430.0,595.0,403.0,295.0
B39G0288002_1028_39GP0076002.csv,B39G0288,39GP0076002,169050.0,436430.0,595.0,-297.0,-405.0
B39G2551001_1036_39G-2551001.csv,B39G2551,39G-2551001,167178.27,435411.18,700.0,421.0,321.0
B39G2552001_1036_39G-2552001.csv,B39G2552,39G-2552001,167561.76,435356.94,686.0,404.0,304.0
B39G2553001_1036_39G-2553001.csv,B39G2553,39G-2553001,167765.36,435638.5,645.0,455.0,355.0
B39G2553002_1036_39G-2553002.csv,B39G2553,39G-2553002,167765.36,435638.5,645.0,157.0,57.0
B39G2554001_1036_39G-2554001.csv,B39G2554,39G-2554001,167813.32,436024.56,635.0,431.0,331.0
B39G2555001_1036_39G-2555001.csv,B39G2555,39G-2555001,167706.57,436268.99,627.0,410.0,310.0
B39G2556001_1036_39G-2556001.csv,B39G2556,39G-2556001,167099.38,435739.19,690.0,461.0,361.0
B39G2557001_1036_39G-2557001.csv,B39G2557,39G-2557001,167443.49,436486.61,651.0,504.0,404.0
B39G2564001_1036_39G-2564001.csv,B39G2564,39G-2564001,167592.54,435914.65,625.0,425.0,325.0
B39G2564002_1036_39G-2564002.csv,B39G2564,39G-2564002,167592.54,435914.65,625.0,179.0,79.0
B39H0380001_1031_39H-0380001.csv,B39H0380,39H-0380001,174781.7,437100.5,734.0,46.0,-54.0
B39H0380002_1031_39H-0380002.csv,B39H0380,39H-0380002,174781.7,437100.5,734.0,-1554.0,-1754.0
B39H0380003_1031_39H-0380003.csv,B39H0380,39H-0380003,174781.7,437100.5,734.0,-3053.0,-3253.0
B39H0381001_1028_39H-0381001.csv,B39H0381,39H-0381001,176130.0,435580.0,760.0,340.0,240.0
B39H0381002_1028_39H-0381002.csv,B39H0381,39H-0381002,176130.0,435580.0,760.0,-534.0,-734.0
B39H0381003_1028_39H-0381003.csv,B39H0381,39H-0381003,176130.0,435580.0,760.0,-3122.0,-3322.0
B39H0382001_1021_39H-0382001.csv,B39H0382,39H-0382001,179430.0,437080.0,738.9,509.9,409.9
B39H0382002_1021_39H-0382002.csv,B39H0382,39H-0382002,179430.0,437080.0,738.9,-1052.1,-1252.1
B39H0382003_1021_39H-0382003.csv,B39H0382,39H-0382003,179430.0,437080.0,738.9,-3627.1,-3827.1
B39H0383001_1028_39H-0383001.csv,B39H0383,39H-0383001,179795.0,434815.0,817.0,3.0,
B39H0383002_1028_39H-0383002.csv,B39H0383,39H-0383002,179795.0,434815.0,817.0,-882.0,-1082.0
B39H0383003_1028_39H-0383003.csv,B39H0383,39H-0383003,179795.0,434815.0,817.0,-3579.0,-3779.0
B39H0384001_1033_39H-0384001.csv,B39H0384,39H-0384001,176081.387,437034.7004,713.0,509.0,409.0
B39H0384002_1033_39H-0384002.csv,B39H0384,39H-0384002,176081.387,437034.7004,713.0,-81.0,-281.0
B39H0385001_1033_39H-0385001.csv,B39H0385,39H-0385001,177450.0,436880.0,794.0,589.0,489.0
B39H0385002_1033_39H-0385002.csv,B39H0385,39H-0385002,177450.0,436880.0,794.0,-99.0,-299.0
B39H0386001_1028_39H-0386001.csv,B39H0386,39H-0386001,177600.0,436060.0,746.0,539.0,439.0
B39H0386002_1028_39H-0386002.csv,B39H0386,39H-0386002,177600.0,436060.0,746.0,-60.0,-260.0
B39H0387001_1028_39H-0387001.csv,B39H0387,39H-0387001,179645.0,436080.0,775.0,562.0,462.0
B39H0387002_1028_39H-0387002.csv,B39H0387,39H-0387002,179645.0,436080.0,775.0,-56.0,-256.0
B39H0388001_1021_39H-0388001.csv,B39H0388,39H-0388001,178624.94,437431.23,745.6,547.6,447.6
